STEP,LAPV,TENG,LAPM,S3,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
7,2757.55731,64271.7937,22.77954,0.60856,5221.09326,1510.47974,-2,0.528157068391458,down,/home/pi/arducam/album-V2/IMG_1593336738.png,small
8,1510.47974,40996.62659,16.02905,0.55058,2757.55731,762.24796,-3,0.5477600536251411,down,/home/pi/arducam/album-V2/IMG_1593336740.png,big
9,762.24796,25785.19531,12.24951,0.42098,1510.47974,509.04922,-4,0.5046396451500899,down,/home/pi/arducam/album-V2/IMG_1593336742.png,big
10,509.04922,19456.77417,10.11023,0.36671,762.24796,509.04922,-5,0.6678262805714822,down,/home/pi/arducam/album-V2/IMG_1593336745.png,big
1,9521.22653,156218.28992,40.22327,0.70341,9521.22653,9422.18448,4,0,up,/home/pi/arducam/album-V2/IMG_1593336840.png,big
2,9422.18448,154512.03467,39.06067,0.68039,9521.22653,9447.41321,3,0.9895977635141929,down,/home/pi/arducam/album-V2/IMG_1593336842.png,big
3,9447.41321,157923.37732,40.4032,0.67552,9422.18448,10248.06099,2,1.002677588201924,up,/home/pi/arducam/album-V2/IMG_1593336844.png,small
4,10248.06099,162902.74829,39.36438,0.6597,9447.41321,11376.35067,1,1.08474783120024,up,/home/pi/arducam/album-V2/IMG_1593336847.png,small
5,11376.35067,173477.50623,39.74243,0.62857,10248.06099,6565.00692,0,1.110097869353137,up,/home/pi/arducam/album-V2/IMG_1593336849.png,small
6,6565.00692,137247.37927,36.84521,0.60291,11376.35067,3631.88788,-1,0.577074943488886,down,/home/pi/arducam/album-V2/IMG_1593336851.png,small
7,3631.88788,99387.81982,26.67456,0.41509,6565.00692,1926.77976,-2,0.5532192005671184,down,/home/pi/arducam/album-V2/IMG_1593336854.png,small
8,1926.77976,65424.7749,19.07117,0.34675,3631.88788,1011.11316,-3,0.5305174123381804,down,/home/pi/arducam/album-V2/IMG_1593336856.png,big
9,1011.11316,41956.42078,13.9646,0.27626,1926.77976,702.63772,-4,0.5247684146318831,down,/home/pi/arducam/album-V2/IMG_1593336858.png,big
10,702.63772,32261.00232,11.87073,0.25953,1011.11316,702.63772,-5,0.6949150182161609,down,/home/pi/arducam/album-V2/IMG_1593336861.png,big
1,10987.86322,157097.30176,41.38892,0.73143,10987.86322,11000.81825,3,0,up,/home/pi/arducam/album-V2/IMG_1593336885.png,big
2,11000.81825,157798.07117,41.04236,0.75522,10987.86322,11057.98853,2,1.0011790308762145,up,/home/pi/arducam/album-V2/IMG_1593336887.png,small
3,11057.98853,158876.02112,41.45728,0.73946,11000.81825,11705.71341,1,1.005196911602462,up,/home/pi/arducam/album-V2/IMG_1593336889.png,small
4,11705.71341,163018.71631,40.71167,0.7312,11057.98853,11466.79018,0,1.0585752895513267,up,/home/pi/arducam/album-V2/IMG_1593336892.png,small
5,11466.79018,165524.96399,41.19312,0.724,11705.71341,6383.20886,-1,0.9795891782387315,down,/home/pi/arducam/album-V2/IMG_1593336894.png,small
6,6383.20886,124688.1814,35.65271,0.72222,11466.79018,3270.14042,-2,0.5566691951103617,down,/home/pi/arducam/album-V2/IMG_1593336896.png,small
7,3270.14042,81967.58838,25.00952,0.52131,6383.20886,1527.48279,-3,0.5123035281662396,down,/home/pi/arducam/album-V2/IMG_1593336899.png,big
8,1527.48279,48573.01172,17.08643,0.43612,3270.14042,775.66069,-4,0.4671000611037981,down,/home/pi/arducam/album-V2/IMG_1593336901.png,big
9,775.66069,30020.16516,12.23303,0.35692,1527.48279,530.76231,-5,0.5078032270334123,down,/home/pi/arducam/album-V2/IMG_1593336903.png,big
10,530.76231,22430.86609,10.25232,0.32787,775.66069,530.76231,-6,0.6842712501003498,down,/home/pi/arducam/album-V2/IMG_1593336906.png,big
1,7261.76294,107326.24597,23.50781,0.46168,7261.76294,7216.78677,3,0,up,/home/pi/arducam/album-V2/IMG_1593337212.png,big
2,7216.78677,107462.36609,23.42773,0.45539,7261.76294,7218.82447,2,0.9938064392391195,down,/home/pi/arducam/album-V2/IMG_1593337214.png,small
3,7218.82447,107729.74023,23.45288,0.46296,7216.78677,8271.90612,1,1.0002823555780351,up,/home/pi/arducam/album-V2/IMG_1593337216.png,small
4,8271.90612,112810.37732,24.00378,0.48799,7218.82447,8078.89301,0,1.1458799357674367,up,/home/pi/arducam/album-V2/IMG_1593337219.png,small
5,8078.89301,113361.46997,23.61499,0.4803,8271.90612,3952.23823,-1,0.9766664288496543,down,/home/pi/arducam/album-V2/IMG_1593337221.png,small
6,3952.23823,99102.45764,18.77771,0.3183,8078.89301,1791.01681,-2,0.48920541776057014,down,/home/pi/arducam/album-V2/IMG_1593337224.png,small
7,1791.01681,80806.19397,13.59961,0.15243,3952.23823,1137.81678,-3,0.45316519545938405,down,/home/pi/arducam/album-V2/IMG_1593337226.png,big
8,1137.81678,70894.51379,11.32629,0.05964,1791.01681,815.98127,-4,0.6352909551976791,down,/home/pi/arducam/album-V2/IMG_1593337228.png,big
9,815.98127,57599.99402,9.38733,0.04305,1137.81678,689.42642,-5,0.7171464548097102,down,/home/pi/arducam/album-V2/IMG_1593337231.png,big
10,689.42642,50888.23083,8.47327,0.04075,815.98127,689.42642,-6,0.8449047120897762,down,/home/pi/arducam/album-V2/IMG_1593337233.png,big
1,7785.29527,118565.37756,25.672,0.49831,7785.29527,7890.22192,4,0,up,/home/pi/arducam/album-V2/IMG_1593337634.png,big
2,7890.22192,121438.85217,25.85486,0.50596,7785.29527,7851.09244,3,1.0134775427727611,up,/home/pi/arducam/album-V2/IMG_1593337637.png,big
3,7851.09244,121077.83398,25.82104,0.50164,7890.22192,8442.90656,2,0.9950407630613259,down,/home/pi/arducam/album-V2/IMG_1593337639.png,small
4,8442.90656,121134.29126,26.27441,0.52446,7851.09244,8447.462,1,1.0753798435724442,up,/home/pi/arducam/album-V2/IMG_1593337641.png,small
5,8447.462,123495.15833,25.90088,0.49527,8442.90656,4327.29488,0,1.000539558263215,up,/home/pi/arducam/album-V2/IMG_1593337644.png,small
6,4327.29488,112697.20935,20.01172,0.30136,8447.462,1937.4976,-1,0.5122597627547778,down,/home/pi/arducam/album-V2/IMG_1593337646.png,small
7,1937.4976,89545.6825,14.3645,0.06271,4327.29488,1238.18809,-2,0.447738749895408,down,/home/pi/arducam/album-V2/IMG_1593337648.png,small
8,1238.18809,77094.64746,11.82178,0.02068,1937.4976,905.88237,-3,0.6390656122619198,down,/home/pi/arducam/album-V2/IMG_1593337651.png,big
9,905.88237,61838.49097,9.82959,0.01973,1238.18809,769.82624,-4,0.731619353566872,down,/home/pi/arducam/album-V2/IMG_1593337653.png,big
10,769.82624,54421.08044,8.80176,0.01703,905.88237,769.82624,-5,0.8498081710101059,down,/home/pi/arducam/album-V2/IMG_1593337656.png,big
1,9840.11261,147916.78235,29.00793,0.41928,9840.11261,9428.79105,4,0,up,/home/pi/arducam/album-V2/IMG_1593337799.png,big
2,9428.79105,142982.24036,28.646,0.42341,9840.11261,9479.76646,3,0.9581995068245464,down,/home/pi/arducam/album-V2/IMG_1593337801.png,big
3,9479.76646,143390.55298,28.74341,0.43702,9428.79105,10439.80241,2,1.0054063569475327,up,/home/pi/arducam/album-V2/IMG_1593337803.png,small
4,10439.80241,145639.46851,29.5061,0.44558,9479.76646,10522.98689,1,1.1012721098194649,up,/home/pi/arducam/album-V2/IMG_1593337806.png,small
5,10522.98689,147559.83752,29.18115,0.44311,10439.80241,4884.67572,0,1.0079680128735309,up,/home/pi/arducam/album-V2/IMG_1593337808.png,small
6,4884.67572,129553.11218,21.82434,0.20322,10522.98689,2154.48692,-1,0.46419099168905265,down,/home/pi/arducam/album-V2/IMG_1593337810.png,small
7,2154.48692,102858.87646,15.46411,0.03465,4884.67572,1364.11727,-2,0.4410706142024101,down,/home/pi/arducam/album-V2/IMG_1593337813.png,small
8,1364.11727,82945.36768,12.42432,0.01739,2154.48692,1032.96552,-3,0.6331517993156348,down,/home/pi/arducam/album-V2/IMG_1593337815.png,big
9,1032.96552,67402.21753,10.44348,0.02155,1364.11727,868.94414,-4,0.7572409958566099,down,/home/pi/arducam/album-V2/IMG_1593337817.png,big
10,868.94414,58139.82996,9.19885,0.01717,1032.96552,868.94414,-5,0.8412131123215032,down,/home/pi/arducam/album-V2/IMG_1593337820.png,big
1,10156.47889,146111.9801,29.03076,0.43182,10156.47889,10031.20919,3,0,up,/home/pi/arducam/album-V2/IMG_1593337836.png,big
2,10031.20919,145447.18726,29.01868,0.4195,10156.47889,9961.26534,2,0.9876660305843454,down,/home/pi/arducam/album-V2/IMG_1593337838.png,small
3,9961.26534,144781.99316,28.85022,0.42338,10031.20919,11244.23573,1,0.9930273759947379,down,/home/pi/arducam/album-V2/IMG_1593337841.png,small
4,11244.23573,150337.38135,30.13391,0.44994,9961.26534,10246.21613,0,1.1287959256389009,up,/home/pi/arducam/album-V2/IMG_1593337843.png,small
5,10246.21613,145128.89868,29.01526,0.39048,11244.23573,4587.92347,-1,0.9112416687123297,down,/home/pi/arducam/album-V2/IMG_1593337845.png,small
6,4587.92347,125814.38806,21.36572,0.19718,10246.21613,2071.12408,-2,0.4477675867647347,down,/home/pi/arducam/album-V2/IMG_1593337848.png,small
7,2071.12408,100466.54724,15.27612,0.03817,4587.92347,1337.67933,-3,0.45142951785113367,down,/home/pi/arducam/album-V2/IMG_1593337850.png,big
8,1337.67933,81883.01514,12.29504,0.01771,2071.12408,1023.3722,-4,0.6458711686650854,down,/home/pi/arducam/album-V2/IMG_1593337852.png,big
9,1023.3722,66985.33777,10.34973,0.02009,1337.67933,863.1183,-5,0.7650355186395831,down,/home/pi/arducam/album-V2/IMG_1593337855.png,big
10,863.1183,57864.51257,9.13379,0.01871,1023.3722,863.1183,-6,0.8434060452296828,down,/home/pi/arducam/album-V2/IMG_1593337857.png,big
1,1543.77776,30203.98804,8.17383,0.54946,1543.77776,1539.17227,3,0,up,/home/pi/arducam/album-V2/IMG_1593338378.png,big
2,1539.17227,30117.85645,8.10901,0.56031,1543.77776,1520.78883,2,0.9970167402852079,down,/home/pi/arducam/album-V2/IMG_1593338381.png,small
3,1520.78883,29938.90613,8.08203,0.55068,1539.17227,1611.52573,1,0.9880562817052311,down,/home/pi/arducam/album-V2/IMG_1593338383.png,small
4,1611.52573,30488.9635,7.92664,0.55713,1520.78883,1314.65336,0,1.0596643651045228,up,/home/pi/arducam/album-V2/IMG_1593338385.png,small
5,1314.65336,29635.87817,5.91357,0.56783,1611.52573,824.00478,-1,0.8157817995248515,down,/home/pi/arducam/album-V2/IMG_1593338388.png,small
6,824.00478,26640.73596,4.84631,0.44542,1314.65336,542.57306,-2,0.6267848279032276,down,/home/pi/arducam/album-V2/IMG_1593338390.png,small
7,542.57306,23510.56836,3.85266,0.29206,824.00478,373.40586,-3,0.6584586317569664,down,/home/pi/arducam/album-V2/IMG_1593338392.png,big
8,373.40586,20480.08264,3.18994,0.17441,542.57306,272.69424,-4,0.6882130491329591,down,/home/pi/arducam/album-V2/IMG_1593338395.png,big
9,272.69424,18438.71484,2.76172,0.11617,373.40586,222.9783,-5,0.7302891282959512,down,/home/pi/arducam/album-V2/IMG_1593338397.png,big
10,222.9783,17113.9668,2.50781,0.08855,272.69424,222.9783,-6,0.8176861381450522,down,/home/pi/arducam/album-V2/IMG_1593338399.png,big
1,1181.59668,14736.67017,9.05933,0.34087,1181.59668,1178.94977,0,0,up,/home/pi/arducam/album-V2/IMG_1593338499.png,small
